date,time,stock,exchange,signal_type,entry_price,target,stop_loss,confidence,rsi,gain_pct,sl_pct,hold_days,atr,macd_cross,volume_spike,reason,status,vix_level,vix_current,sr_pivot,fo_strike,fo_option_type,fo_expiry,fo_premium,fo_tgt_premium,fo_sl_premium,signal_category
06-05-2026,14:27,PHOENIXLTD,NSE,BUY,1825.0,1990.19,1742.41,65,63.4,9.1,4.5,03-Jul,55.06,True,False,MACD daily bullish crossover + EMA20 > EMA50 bullish stack + Breaking above 20-day resistance,Open,,,,1800.0,CE,07-May,52.4,83.8,26.2,F&O
06-05-2026,14:29,VIYASH,NSE,BUY,217.15,240.68,205.38,65,61.4,10.8,5.4,03-Jul,7.84,True,True,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Open,,,,,,,,,,
07-05-2026,09:24,CGPOWER,NSE,BUY,845.85,920.04,808.75,65,69.5,8.8,4.4,3-7,24.73,True,False,MACD daily bullish crossover + EMA20 > EMA50 bullish stack + Breaking above 20-day resistance,Open,,,,,,,,,,
07-05-2026,09:24,CGPOWER,NSE,BUY,845.85,920.04,808.75,65,69.5,8.8,4.4,3-7,24.73,True,False,MACD daily bullish crossover + EMA20 > EMA50 bullish stack + Breaking above 20-day resistance,Open,,,,850.0,CE,14 May,16.8,26.9,8.4,F&O
07-05-2026,09:25,HINDCOPPER,NSE,BUY,574.85,633.22,545.66,75,61.4,10.2,5.1,3-7,19.46,True,False,RSI rising in healthy zone + MACD daily bullish crossover + EMA20 > EMA50 bullish stack,Open,,,,,,,,,,
07-05-2026,10:31,PARAS,NSE,BUY,863.0,967.1,810.95,65,71.2,12.1,6.0,3-7,34.7,True,False,MACD daily bullish crossover + EMA20 > EMA50 bullish stack + Breaking above 20-day resistance,Open,,,,,,,,,,
07-05-2026,11:02,DELHIVERY,NSE,BUY,481.3,522.93,460.49,65,65.3,8.6,4.3,3-7,13.88,True,False,MACD daily bullish crossover + EMA20 > EMA50 bullish stack + Breaking above 20-day resistance,Open,,,,,,,,,,
07-05-2026,11:03,DELHIVERY,NSE,BUY,481.3,522.93,460.49,65,65.3,8.6,4.3,3-7,13.88,True,False,MACD daily bullish crossover + EMA20 > EMA50 bullish stack + Breaking above 20-day resistance,Open,,,,480.0,CE,14 May,8.5,13.6,4.2,F&O
07-05-2026,14:52,PAYTM,NSE,BUY,1194.3,1314.42,1134.24,75,63.7,10.1,5.0,3-7,40.04,True,True,MACD daily bullish crossover + EMA20 > EMA50 bullish stack + Volume breakout Â institutional buying,Open,,,,,,,,,,
07-05-2026,14:52,PAYTM,NSE,BUY,1194.3,1314.42,1134.24,75,63.7,10.1,5.0,3-7,40.04,True,True,MACD daily bullish crossover + EMA20 > EMA50 bullish stack + Volume breakout Â institutional buying,Open,,,,1200.0,CE,14 May,23.6,37.8,11.8,F&O
